block,task,correct_answer
warmup,iq_easy_3,7
warmup,iq_easy_5,3
warmup,iq_easy_7,8
warmup,iq_easy_9,8
warmup,iq_medium_16,4
warmup,iq_medium_18,7
warmup,iq_medium_20,8
warmup,iq_medium_22,7
warmup,iq_hard_30,5
warmup,iq_hard_32,8
warmup,iq_hard_34,1
warmup,iq_hard_36,2
real,iq_easy_3_1,5
real,iq_easy_4,1
real,iq_easy_c6,4
real,iq_easy_c8,1
real,iq_medium_7,6
real,iq_medium_8,3
real,iq_medium_e5,1
real,iq_medium_e7,2
real,iq_hard_11,7
real,iq_hard_i2,6
real,iq_hard_e11,3
real,iq_hard_e12,5
final,iq_easy_2,1
final,iq_easy_4,4
final,iq_easy_6,1
final,iq_easy_8,1
final,iq_medium_15,2
final,iq_medium_17,6
final,iq_medium_19,3
final,iq_medium_21,8
final,iq_hard_29,6
final,iq_hard_31,4
final,iq_hard_33,5
final,iq_hard_35,3
